Semester,Score,Score Range
1.2010-2011,2.6,0to5
1.2010-2011,4.9,0to5
1.2010-2011,5.7,5to8
1.2010-2011,5.8,5to8
1.2010-2011,6.2,5to8
1.2010-2011,7.1,5to8
1.2010-2011,7.8,5to8
1.2010-2011,7.2,5to8
1.2010-2011,6.5,5to8
1.2010-2011,6.5,5to8
1.2010-2011,6.5,5to8
1.2010-2011,6.7,5to8
1.2010-2011,5.1,5to8
1.2010-2011,2,0to5
1.2010-2011,6,5to8
1.2010-2011,6.2,5to8
2.2008-2009,5.9,5to8
1.2010-2011,6.7,5to8
1.2010-2011,7,5to8
1.2010-2011,5.9,5to8
1.2010-2011,4.9,0to5
1.2010-2011,3.5,0to5
1.2010-2011,7.4,5to8
1.2010-2011,7.8,5to8
1.2010-2011,7.3,5to8
1.2010-2011,3.5,0to5
1.2010-2011,4,0to5
1.2010-2011,5.6,5to8
1.2010-2011,4.7,0to5
1.2010-2011,3.5,0to5
2.2010-2011,8,8to10
1.2010-2011,6.3,5to8
1.2010-2011,5.5,5to8
1.2010-2011,3.5,0to5
1.2010-2011,1.8,0to5
1.2011-2012,8,8to10
1.2011-2012,5.6,5to8
1.2010-2011,2.2,0to5
1.2010-2011,8,8to10
1.2010-2011,4.2,0to5
1.2010-2011,4,0to5
1.2010-2011,3.2,0to5
1.2010-2011,5.5,5to8
2.2008-2009,3.8,0to5
1.2010-2011,4,0to5
1.2010-2011,2.1,0to5
1.2010-2011,1.8,0to5
2.2010-2011,5,5to8
1.2010-2011,8,8to10
1.2010-2011,1.8,0to5
1.2010-2011,4.4,0to5
2.2008-2009,3.5,0to5
1.2010-2011,2.1,0to5
2.2010-2011,4,0to5
1.2010-2011,6,5to8
2.2008-2009,5.6,5to8
1.2010-2011,4.6,0to5
1.2010-2011,6.4,5to8
1.2010-2011,1.8,0to5
2.2008-2009,3.5,0to5
1.2010-2011,5.6,5to8
2.2008-2009,6.6,5to8
1.2010-2011,8.3,8to10
1.2010-2011,4,0to5
1.2010-2011,1.8,0to5
1.2010-2011,4.6,0to5
1.2010-2011,4.9,0to5
1.2010-2011,3.2,0to5
1.2010-2011,3.2,0to5
2.2010-2011,4,0to5
1.2010-2011,5.6,5to8
1.2010-2011,4.1,0to5
1.2010-2011,7.7,5to8
1.2010-2011,4.2,0to5
1.2010-2011,7.7,5to8
1.2010-2011,2.8,0to5
1.2010-2011,3.1,0to5
2.2010-2011,6,5to8
1.2010-2011,1.2,0to5
2.2010-2011,0,0to5
1.2012-2013,3.2,0to5
1.2013-2014,7,5to8
1.2010-2011,7.7,5to8
1.2010-2011,3.7,0to5
1.2010-2011,6.6,5to8
1.2010-2011,7,5to8
1.2010-2011,8.7,8to10
1.2010-2011,4.6,0to5
2.2008-2009,6.6,5to8
1.2010-2011,5.6,5to8
1.2010-2011,6.3,5to8
1.2010-2011,4,0to5
2.2008-2009,6.6,5to8
1.2010-2011,4.7,0to5
2.2008-2009,4.4,0to5
2.2008-2009,5,5to8
2.2008-2009,5,5to8
2.2008-2009,4.8,0to5
2.2008-2009,5,5to8
2.2008-2009,5.4,5to8
2.2008-2009,3.8,0to5
2.2008-2009,4,0to5
2.2008-2009,4.8,0to5
2.2008-2009,5.3,5to8
2.2008-2009,6.9,5to8
2.2008-2009,5.1,5to8
2.2008-2009,6.9,5to8
2.2008-2009,5.3,5to8
2.2008-2009,5.1,5to8
2.2008-2009,8,8to10
2.2008-2009,1.5,0to5
2.2008-2009,6.6,5to8
2.2008-2009,5,5to8
2.2008-2009,2.3,0to5
2.2008-2009,6.3,5to8
2.2008-2009,4.6,0to5
2.2008-2009,4.6,0to5
2.2008-2009,4.3,0to5
2.2008-2009,6.2,5to8
2.2008-2009,5,5to8
2.2008-2009,4.3,0to5
2.2008-2009,7,5to8
2.2008-2009,5.2,5to8
2.2008-2009,4.4,0to5
2.2008-2009,7.9,5to8
2.2008-2009,7.5,5to8
2.2008-2009,6.7,5to8
2.2008-2009,4.7,0to5
2.2008-2009,6.3,5to8
2.2008-2009,5.5,5to8
2.2008-2009,6.8,5to8
2.2008-2009,5.4,5to8
2.2008-2009,6.8,5to8
2.2008-2009,4.2,0to5
2.2008-2009,4.7,0to5
2.2008-2009,4.6,0to5
2.2008-2009,4.8,0to5
2.2008-2009,3.8,0to5
2.2008-2009,6.4,5to8
2.2008-2009,3.8,0to5
2.2008-2009,5.5,5to8
2.2008-2009,5,5to8
2.2008-2009,5.3,5to8
2.2008-2009,4.2,0to5
2.2008-2009,7.9,5to8
2.2008-2009,6,5to8
2.2008-2009,4.4,0to5
2.2008-2009,6,5to8
2.2008-2009,1.5,0to5
2.2008-2009,6.9,5to8
2.2008-2009,5.5,5to8
2.2008-2009,5.2,5to8
2.2008-2009,5,5to8
2.2008-2009,6.5,5to8
2.2008-2009,7.5,5to8
2.2008-2009,4.1,0to5
2.2008-2009,7,5to8
2.2008-2009,5,5to8
2.2008-2009,6.7,5to8
2.2008-2009,4.4,0to5
2.2008-2009,6,5to8
2.2008-2009,5.8,5to8
2.2008-2009,5.9,5to8
2.2008-2009,4.8,0to5
2.2008-2009,5.1,5to8
2.2008-2009,4.7,0to5
2.2008-2009,4,0to5
2.2008-2009,6,5to8
2.2008-2009,6.5,5to8
2.2008-2009,6,5to8
2.2008-2009,4.3,0to5
2.2008-2009,6.9,5to8
2.2008-2009,6.6,5to8
2.2008-2009,9.3,8to10
2.2008-2009,6,5to8
2.2008-2009,7.8,5to8
2.2008-2009,5.8,5to8
2.2008-2009,7,5to8
2.2008-2009,5,5to8
2.2008-2009,5,5to8
2.2008-2009,4.9,0to5
2.2008-2009,6,5to8
2.2008-2009,7,5to8
2.2008-2009,8,8to10
2.2008-2009,4.8,0to5
2.2008-2009,4,0to5
2.2008-2009,5.3,5to8
2.2008-2009,9,8to10
2.2008-2009,6.8,5to8
2.2008-2009,5,5to8
2.2008-2009,7,5to8
2.2008-2009,8.5,8to10
2.2008-2009,5,5to8
2.2008-2009,8.3,8to10
2.2008-2009,9,8to10
2.2008-2009,5.5,5to8
2.2008-2009,5,5to8
2.2008-2009,4.3,0to5
2.2008-2009,6,5to8
2.2008-2009,5.4,5to8
2.2008-2009,6,5to8
2.2008-2009,6.4,5to8
2.2008-2009,8,8to10
2.2008-2009,4.6,0to5
2.2008-2009,6.3,5to8
2.2008-2009,7.1,5to8
2.2008-2009,5,5to8
2.2008-2009,4.3,0to5
2.2008-2009,6.3,5to8
2.2008-2009,8.8,8to10
2.2008-2009,6.8,5to8
2.2008-2009,6.5,5to8
2.2008-2009,5,5to8
2.2008-2009,5.8,5to8
2.2008-2009,7,5to8
2.2008-2009,4.8,0to5
2.2008-2009,4.6,0to5
2.2008-2009,8.5,8to10
2.2008-2009,4.8,0to5
2.2008-2009,6.1,5to8
2.2008-2009,6,5to8
2.2008-2009,4.5,0to5
2.2008-2009,4.5,0to5
2.2008-2009,5.1,5to8
2.2008-2009,4.3,0to5
2.2008-2009,5,5to8
2.2008-2009,4.8,0to5
2.2008-2009,5,5to8
2.2008-2009,8.1,8to10
2.2008-2009,7.9,5to8
2.2008-2009,5.3,5to8
2.2008-2009,8.8,8to10
2.2008-2009,5,5to8
2.2008-2009,4.8,0to5
2.2008-2009,4.6,0to5
2.2008-2009,7.3,5to8
2.2008-2009,4.8,0to5
2.2008-2009,6.8,5to8
2.2008-2009,5,5to8
2.2008-2009,6.8,5to8
2.2008-2009,6,5to8
2.2008-2009,5,5to8
2.2008-2009,6.3,5to8
2.2008-2009,5,5to8
2.2008-2009,5,5to8
2.2008-2009,5,5to8
2.2008-2009,9.3,8to10
2.2008-2009,4.3,0to5
2.2008-2009,8.1,8to10
2.2008-2009,4.3,0to5
2.2008-2009,7.5,5to8
